outcome,matchedBy,chamberName,chamberEmail,chamberPhone,dbId,dbName,dbEmail
BOTH_NO_EMAIL,name,"Riverside University Health System Foundation","","(951) 486-4000","cmsll7sdq0047dou9prim6sii","Riverside University Health System Foundation",
BOTH_NO_EMAIL,name,"Rotary Club of Moreno Valley","","","cmsll7sg9004adou9apa984ig","Rotary Club of Moreno Valley",
ONLY_CHAMBER_HAS_EMAIL,name,"Soroptimist International of MV","dhmoongirl54@gmail.com","(951) 486-1273","cmsll7sqc004mdou90v3sw0ps","Soroptimist International of MV",
ONLY_CHAMBER_HAS_EMAIL,name,"Moreno Valley College","eden.andom@mvc.edu","(951) 571-6100","cmsll7rfl0033dou93b5fnzv8","Moreno Valley College",
ONLY_CHAMBER_HAS_EMAIL,name,"Dancing Images","didcdirector@gmail.com","(951) 247-6858","cmsll7pso0016dou90y6zpgof","Dancing Images",
NOT_IN_DB,,"Sunnymead Ranch PCA","dpitchers@actionlife.com","(951) 924-2249",,,
BOTH_NO_EMAIL,name,"Security Public Storage","","(951) 242-9095","cmsll7sjl004edou9j9sdtspu","Security Public Storage",
BOTH_NO_EMAIL,name,"Waste Management","","(951) 280-5462","cmsll7te0005edou974egogzj","Waste Management",
NOT_IN_DB,,"Walgreens Distribution Center","laura.brown@walgreens.com","(951) 601-3000",,,
ONLY_CHAMBER_HAS_EMAIL,name,"Kaiser Permanente Moreno Valley","tamara.r.simmons@kp.org","(951) 243-0811","cmsll7quj002edou9qvoeeswz","Kaiser Permanente Moreno Valley",
ONLY_CHAMBER_HAS_EMAIL,name,"Moreno Valley Historical Society","morenovalleyhistoricalsociety@gmail.com","(951) 251-5372","cmsll7rjs0038dou9hmf8hr8g","Moreno Valley Historical Society",
ONLY_CHAMBER_HAS_EMAIL,name,"The Salvation Army","morenovalley@usw.salvationarmy.org","(951) 784-4490","cmsll7t3w0052dou9lrlzerk6","The Salvation Army",
ONLY_CHAMBER_HAS_EMAIL,name,"Perris Isle Senior Apartment","perrisisle@buckinghampm.com","(951) 924-4070","cmsll7rxa003odou98z7xhpys","Perris Isle Senior Apartment",
BOTH_NO_EMAIL,name,"March Joint Powers Authority","","(951) 656-7000","cmsll7r5h002rdou9qz83kg1h","March Joint Powers Authority",
ONLY_CHAMBER_HAS_EMAIL,name,"Margarita's Grill Restaurant & Catering","info@margaritascatering.com","(951) 924-2500","cmsll7r6c002sdou9knz1f77l","Margarita's Grill Restaurant & Catering",
BOTH_NO_EMAIL,name,"Moreno Valley United Methodist Church","","(951) 924-6990","cmsll7rlh003adou9zyh55epq","Moreno Valley United Methodist Church",
BOTH_NO_EMAIL,name,"Southpointe Shopping Center","","(714) 283-5800","cmsll7sr6004ndou9cud6x74g","Southpointe Shopping Center",
ONLY_CHAMBER_HAS_EMAIL,name,"Hampton Inn & Suites Moreno Valley","jeannie.blue@hilton.com","(951) 571-7788","cmsll7qip0020dou9873wsi2e","Hampton Inn & Suites Moreno Valley",
BOTH_NO_EMAIL,name,"ROSS Distribution Center","","(951) 489-5849","cmsll7sfe0049dou9ukktvfbu","ROSS Distribution Center",
BOTH_NO_EMAIL,name,"La Quinta Inn & Suites","","(951) 486-9000","cmsll7qw7002gdou9s4mwdd49","La Quinta Inn & Suites",
ONLY_CHAMBER_HAS_EMAIL,name,"Moss Bros. Auto Group","stu@mosssavings.com","(951) 205-7805","cms0s6530akem90uz28","Moss Bros. Auto Group",
EXACT_EMAIL_MATCH,phone,"Ayres Hotel & Spa","bnunez@ayreshotels.com","(951) 571-4141","cms0s6a04080tp1jo45","Ayres Hotel & Spa Moreno Valley","bnunez@ayreshotels.com"
BOTH_NO_EMAIL,name,"Oakwood Apts","","(951) 243-0800","cmsll7rqk003gdou9s49ftnt1","Oakwood Apts",
EMAIL_MISMATCH,name,"Moreno Valley Animal Hospital","dogdrb@msn.com","(951) 242-2111","cms0s6mvhswmr965w95","Moreno Valley Animal Hospital","mvanimalhosp@gmail.com"
ONLY_CHAMBER_HAS_EMAIL,name,"Sizzler Restaurant #671","hospitality@bmwmanagement.com","(951) 676-8616","cmsll7smz004idou9iqeq5u7z","Sizzler Restaurant #671",
ONLY_CHAMBER_HAS_EMAIL,name,"Fix Auto Moreno Valley","rose.villegas.perez@fixautousa.com","(951) 656-3600","cmsll7q8h001odou97spfmqz2","Fix Auto Moreno Valley",
ONLY_CHAMBER_HAS_EMAIL,name,"Rancho Belago Developers, Inc.","jjernigan@ranchobelagodevelopers.com","(760) 832-2934","cmsll7s6z003zdou9mvbo6ir8","Rancho Belago Developers, Inc.",
ONLY_CHAMBER_HAS_EMAIL,name,"Cross Word Christian Church","info@crosswordchurch.org","(951) 275-5360","cmsll7pqy0014dou9jqaxcdza","Cross Word Christian Church",
ONLY_CHAMBER_HAS_EMAIL,name,"LightHouse Social Service Center","karynyl@lighthouse-ssc.org","(951) 807-3449","cmsll7r23002ndou9ey5d9svx","LightHouse Social Service Center",
BOTH_NO_EMAIL,name,"Airwave Communication Enterprise","","(951) 656-5699","cmsll7ow40005dou9cdzwg3ea","Airwave Communication Enterprise",
ONLY_CHAMBER_HAS_EMAIL,name,"Rising Stars Business Academy YouthBuild","rsbacademy1@aol.com","(951) 246-6174","cmsll7sb70044dou9tcq7lzw2","Rising Stars Business Academy YouthBuild",
ONLY_CHAMBER_HAS_EMAIL,name,"Palm Plaza Management","contact@palmplazamv.com","(951) 543-9333","cmsll7rur003ldou9n2m4e7g4","Palm Plaza Management",
ONLY_CHAMBER_HAS_EMAIL,name,"Steer 'N Stein of MV, Inc.","steernsteinmv@verizon.net","(951) 243-8799","cmsll7stp004qdou9i8zy3oac","Steer 'N Stein of MV, Inc.",
EXACT_EMAIL_MATCH,phone,"All Solutions Insurance Agency","info@allsolins.com","(951) 247-2003","cmsgsdb8q000004l6kagy2r98","All Solutions Insurance - Southern California","info@allsolins.com"
ONLY_CHAMBER_HAS_EMAIL,name,"Sundance Plaza LLC","tomjerele@gmail.com","","cmsll7svd004sdou9a4y5pzkz","Sundance Plaza LLC",
ONLY_CHAMBER_HAS_EMAIL,name,"Destiny Home Health, Hospice and Palliative Care","destinyhomehealth@hotmail.com","(951) 242-1365","cmsll7pw1001adou9yo9nq7r2","Destiny Home Health, Hospice and Palliative Care",
ONLY_CHAMBER_HAS_EMAIL,name,"Coldstone Creamery","dvngill@yahoo.com","(951) 247-5036","cmsll7pof0011dou9i9amu7pm","Coldstone Creamery",
ONLY_CHAMBER_HAS_EMAIL,name,"The Part-Time CFO, Inc.","gary@garytheparttimecfo.com","(951) 653-5053","cmsll7t2z0051dou99nj9t6te","The Part-Time CFO, Inc.",
ONLY_CHAMBER_HAS_EMAIL,name,"Premier Party Rental","info@partyrentalsbypremier.com","(951) 697-1101","cmsll7rzt003rdou9m6yei07o","Premier Party Rental",
ONLY_CHAMBER_HAS_EMAIL,name,"City of Moreno Valley","contactus@moval.org","(951) 413-3000","cmsll7pmq000zdou9p2f4nmf0","City of Moreno Valley",
ONLY_CHAMBER_HAS_EMAIL,name,"Miguel's Jr. Restaurant","marketingadmin@miguelsjr.com","(951) 697-0390","cmsll7rak002xdou9edy0z9p6","Miguel's Jr. Restaurant",
BOTH_NO_EMAIL,name,"Moreno Valley Chamber of Commerce","","(951)697-4404","cmsll7req0032dou9zqlg3ndb","Moreno Valley Chamber of Commerce",
ONLY_CHAMBER_HAS_EMAIL,name,"State Farm Insurance, Jeremy Garzon Agent","jeremy@agentgarzon.com","(951) 653-1300","cmsll7ssv004pdou9mfx14to4","State Farm Insurance, Jeremy Garzon Agent",
ONLY_CHAMBER_HAS_EMAIL,name,"Dr. Deza's Dental Office","rociodejesus@cs.com","951-697-0909","cmsll7pzm001edou92jz838xo","Dr. Deza's Dental Office",
BOTH_NO_EMAIL,name,"Manzanita Village Senior Living","","(480) 431-8087","cmsll7r4m002qdou93zo7q3m8","Manzanita Village Senior Living",
NOT_IN_DB,,"Stewart, Richard","richstew27@gmail.com","",,,
ONLY_CHAMBER_HAS_EMAIL,name,"Citrus Escrow, Inc.","lisa@citrusescrow.com","(951) 455-4030","cmsll7plw000ydou93w3mgkjq","Citrus Escrow, Inc.",
ONLY_CHAMBER_HAS_EMAIL,name,"Friends of Moreno Valley Senior Center, Inc.","rhondafriends1@gmail.com","(951) 518-6861","cmsll7qb0001rdou9s9j561wr","Friends of Moreno Valley Senior Center, Inc.",
ONLY_CHAMBER_HAS_EMAIL,name,"Winchester Associates, Inc.","slawson@wai-eng.com","(951) 924-5425","cmsll7tfr005gdou9knl8dihz","Winchester Associates, Inc.",
ONLY_CHAMBER_HAS_EMAIL,name,"Discovery Christian Church","mail@discoverthelife.org","951-924-5002","cmsll7pwv001bdou91d25vspt","Discovery Christian Church",
ONLY_CHAMBER_HAS_EMAIL,name,"ALDI Inc.","caroline.rowe@aldi.us","951-530-5750","cmsll7owy0006dou9bymjq3q1","ALDI Inc.",
NOT_IN_DB,,"Baker, James","jcbaker2@earthlink.net","(714) 420-6644",,,
ONLY_CHAMBER_HAS_EMAIL,name,"Moreno Valley Elks Lodge #2697","mvelks2697@yahoo.com","(951) 683-4031","cmsll7ri30036dou97tfwdz64","Moreno Valley Elks Lodge #2697",
ONLY_CHAMBER_HAS_EMAIL,name,"Harbor Freight Tools","badsit@harborfreight.com","(951) 214-7902","cmsll7qkd0022dou9g5su03bu","Harbor Freight Tools",
BOTH_NO_EMAIL,name,"Les Schwab Tires","","(951) 488-9003","cmsll7qzk002kdou9wovxpf95","Les Schwab Tires",
ONLY_CHAMBER_HAS_EMAIL,name,"American Lady Vets Services Inc.","treesanpaolo@gmail.com","(951) 208-4484","cmsll7p0a000adou90i9xvtsi","American Lady Vets Services Inc.",
BOTH_NO_EMAIL,name,"Riverside University Health System","","(951) 486-4000","cmsll7scw0046dou9z7smx9r3","Riverside University Health System",
ONLY_CHAMBER_HAS_EMAIL,name,"Moreno Valley Utility","mvutility@moval.org","(951) 413-3500","cmsll7rmb003bdou9wzqd89g8","Moreno Valley Utility",
ONLY_CHAMBER_HAS_EMAIL,name,"Veterans of Foreign Wars Alessandro Post 8547","movalvfwpost8547@gmail.com","(951) 656-7756","cmsll7tan005adou9c0jhiaf4","Veterans of Foreign Wars Alessandro Post 8547",
ONLY_CHAMBER_HAS_EMAIL,phone,"Cupcake and Espresso Bar, The","fadi@iheartthecb.com","(951) 601-2039","cms6q3kb48h6m8y1x18","The Cupcake & Espresso Bar",
ONLY_CHAMBER_HAS_EMAIL,phone,"The Cupcake and Espresso Bar","fadi@iheartthecb.com","(951) 653-0037","cms6q3ka49moh88d617","The Cupcake & Espresso Bar",
ONLY_CHAMBER_HAS_EMAIL,name,"Pacific Smile Dental Clinic","pacificsmiledentalmv@yahoo.com","(951) 924-6370","cmsll7rt3003jdou9voyl60gz","Pacific Smile Dental Clinic",
ONLY_CHAMBER_HAS_EMAIL,name,"The Church of Jesus Christ of Latter-Day Saints","ajgonzalez2k@gmail.com","","cmsll7t0f004ydou95gen12w6","The Church of Jesus Christ of Latter-Day Saints",
ONLY_CHAMBER_HAS_EMAIL,name,"Bumpers Driving School","bumpersed@outlook.com","(951) 656-1305","cmsll7pjc000vdou992h8fnpe","Bumpers Driving School",
ONLY_CHAMBER_HAS_EMAIL,name,"Sunnymead Ranch Dental Center","sunnymeadranchdental@gmail.com","(951) 242-8282","cmsll7sw9004tdou9dm9tirya","Sunnymead Ranch Dental Center",
BOTH_NO_EMAIL,name,"Berkshire Hathaway Home Services California Realty","","(951) 363-0315","cmsll7pa1000kdou96a97iros","Berkshire Hathaway Home Services California Realty",
BOTH_NO_EMAIL,name,"Hyundai of Moreno Valley","","(909) 316-0101","cmsll7qon0027dou90e1f3103","Hyundai of Moreno Valley",
ONLY_CHAMBER_HAS_EMAIL,name,"Quick Quack Car Wash","info@dontdrivedirty.com","(888) 772-2792","cmsll7s4f003wdou942f1mndc","Quick Quack Car Wash",
ONLY_CHAMBER_HAS_EMAIL,name,"All Magic Paint and Body ","scotty@allmagicauto.com","(800) 616-2442","cmsll7oxr0007dou9ejtg01ye","All Magic Paint and Body",
BOTH_NO_EMAIL,name,"United Material Handling, Inc.","","(951) 888-8910","cmsll7t8z0058dou9vddsbru8","United Material Handling, Inc.",
ONLY_CHAMBER_HAS_EMAIL,phone,"Black Bear Diner","moreno.valley@blackbeardiner.com","(951) 242-6061","cms0s5zcmh5k9imdnc","Black Bear Diner Moreno Valley",
EXACT_EMAIL_MATCH,name,"Menke Real Estate & Mortgage","john@menke.re","(951) 318-6147","cmry5v001000004l8be019hsa","Menke Real Estate & Mortgage","john@menke.re"
BOTH_NO_EMAIL,name,"Fairfield Inn & Suites","","(951) 563-0053","cmsll7q5y001ldou9o280etok","Fairfield Inn & Suites",
BOTH_NO_EMAIL,name,"Heart 2 Heart 4 You","","(310) 743-5625","cmsll7qm20024dou9o6zt7gxg","Heart 2 Heart 4 You",
ONLY_CHAMBER_HAS_EMAIL,name,"Riverside County Department of Waste Resources","cawad@rivco.org","(951) 486-3200","cmsll7sc10045dou96i4pkjsg","Riverside County Department of Waste Resources",
ONLY_CHAMBER_HAS_EMAIL,name,"Pyramid Home Inspections","pyramid.inspect@gmail.com","(951) 536-1058","cmsll7s2c003udou9vzgn5ji9","Pyramid Home Inspections",
BOTH_NO_EMAIL,phone,"Valvoline","","(951) 247-1873","cmsll7t9t0059dou9devu37lu","Valvoline Instant Oil Change",
ONLY_CHAMBER_HAS_EMAIL,name,"Floor & Decor","jesse.fernandez@flooranddecor.com","(951) 419-6001","cmsll7q9b001pdou9p7i48d6k","Floor & Decor",
ONLY_CHAMBER_HAS_EMAIL,name,"Bear Alignment and Brake","support@bearmorenovalley.com","(951) 221-1788","cmsll7p97000jdou98n37gmsv","Bear Alignment and Brake",
ONLY_CHAMBER_HAS_EMAIL,name,"Inland Empire Autobody & Paint, Inc.","lucy@ieabp.com","(951) 465-7350","cmsll7qr5002adou9jbipbpn8","Inland Empire Autobody & Paint, Inc.",
BOTH_NO_EMAIL,name,"Breakout Escape Rooms","","(951) 444-4263","cmsll7pf6000qdou9nwqv5fqi","Breakout Escape Rooms",
BOTH_NO_EMAIL,name,"Shango Moreno Valley","","(866) 474-2646","cmsll7skg004fdou97p973fav","Shango Moreno Valley",
ONLY_CHAMBER_HAS_EMAIL,phone,"The Cupcake And Espresso Bar","fadi@iheartthecb.com","(951) 601-2039","cms6q3kb48h6m8y1x18","The Cupcake & Espresso Bar",
ONLY_CHAMBER_HAS_EMAIL,name,"Synergy Real Estate Group","alex@synergyregsocal.com","(951) 331-3315","cmsll7syq004wdou9cdple17e","Synergy Real Estate Group",
ONLY_CHAMBER_HAS_EMAIL,name,"Light It Up MoVal","Lightup951@gmail.com","(951) 202-1718","cmsll7r0e002ldou9u2ld04m1","Light It Up MoVal",
BOTH_NO_EMAIL,phone,"BioLife Plasma Services","","(951) 497-4407","cmsll7pbq000mdou91ax5zbro","BioLife Plasma Services LP",
ONLY_CHAMBER_HAS_EMAIL,name,"GCAM PLASMA","mpesqueira@gcamplasma.com","(951) 243-0220","cmsll7qdj001udou9e0lbcdlz","GCAM PLASMA",
ONLY_CHAMBER_HAS_EMAIL,name,"Tractor Supply Co","str2458@tractorsupply.com","(951) 243-1900","cms0s6n9x6zlw7xcm9k","Tractor Supply Co.",
NOT_IN_DB,,"Proctor and Gamble - West Coast Mixing Center","marroguin.e.1@pg.com","(951) 601-4100",,,
ONLY_CHAMBER_HAS_EMAIL,name,"Building Up Lives Foundation","BuildingUpLivesFoundation@gmail.com","(951) 550-5466","cmsll7pii000udou9d3iffoxu","Building Up Lives Foundation",
ONLY_CHAMBER_HAS_EMAIL,name,"Fairway Staffing Services, Inc.","anna@fairwaystaffing.com","(951) 842-6800","cmsll7q6s001mdou9nfywb77s","Fairway Staffing Services, Inc.",
ONLY_CHAMBER_HAS_EMAIL,name,"Imperial Realty","imperialrealty08@hotmail.com","(951) 485-2688","cmsll7qph0028dou9trw08ja2","Imperial Realty",
BOTH_NO_EMAIL,name,"Arrive at Rancho Belago","","(760) 668-5019","cmsll7p45000ddou9j0k2s7tm","Arrive at Rancho Belago",
ONLY_CHAMBER_HAS_EMAIL,name,"CMB Realty Services","Kama@cmbrealtyservices.com","(951) 575-9750","cmsll7pnk0010dou961nmnhth","CMB Realty Services",
ONLY_CHAMBER_HAS_EMAIL,name,"Happy Feet Ultrasound Inc","happyfeetultrasound@gmail.com","(951) 221-1338","cmsll7qjj0021dou97r6s3vqw","Happy Feet Ultrasound Inc",
ONLY_CHAMBER_HAS_EMAIL,name,"MCA the Church","PDCCarlson@gmail.com","(951) 818-4405","cmsll7r9p002wdou91992djzu","MCA the Church",
ONLY_CHAMBER_HAS_EMAIL,name,"Heavenly Helping Hands Daycare","heavenlyhelpinghandsdaycare@gmail.com","(480) 823-2318","cmsll7qmx0025dou9lsbh21xd","Heavenly Helping Hands Daycare",
ONLY_CHAMBER_HAS_EMAIL,name,"NFI Industries","carolina.lopez@nfiindustries.com","(714) 519-8315","cmsll7row003edou98hafjax2","NFI Industries",
NOT_IN_DB,,"Portillo's","esaltsman@portillos.com","",,,
ONLY_CHAMBER_HAS_EMAIL,name,"Rapid Care Urgent Care","docneed@aol.com","(951) 623-6228","cmsll7s7v0040dou9qxgd5g2x","Rapid Care Urgent Care",
ONLY_CHAMBER_HAS_EMAIL,name,"Royalty Medical Billing Firm, Inc.","info@royaltymedicalbillingfirm.com","(888) 547-4744","cmsll7sh3004bdou9dem2co6k","Royalty Medical Billing Firm, Inc.",
BOTH_NO_EMAIL,name,"Toolots Foreign Trade Zone","","(562) 612-6399","cmsll7t4r0053dou9bdkxt92u","Toolots Foreign Trade Zone",
ONLY_CHAMBER_HAS_EMAIL,name,"American Legion Post 574","CommanderPost574@gmail.com","(909) 576-8644","cmsll7p17000bdou9b5rj33zt","American Legion Post 574",
BOTH_NO_EMAIL,name,"Brooke Blake Mobile Notary","","(909) 362-1648","cmsll7pgu000sdou93hpk49ht","Brooke Blake Mobile Notary",
ONLY_CHAMBER_HAS_EMAIL,name,"Moreno General Services, Inc.","mgsacct@morenogeneralservices.com","(951) 656-5515","cms0s6bchxdsu55qe4s","Moreno General Services Inc.",
ONLY_CHAMBER_HAS_EMAIL,name,"Frontline Nutrition","frontline21@gmail.com","(951) 322-0720","cmsll7qbu001sdou9h6rbjtlv","Frontline Nutrition",
ONLY_CHAMBER_HAS_EMAIL,name,"Amazon.com Services LLC","icing@amazon.com","(919) 454-6420","cmsll7ozg0009dou9ho4zddiw","Amazon.com Services LLC",
ONLY_CHAMBER_HAS_EMAIL,name,"Sheila's Mobile Notary and Loan Signing ","sheilanotaryloansigningagent@gmail.com","(951) 357-9773","cmsll7sla004gdou944u3a3n4","Sheila's Mobile Notary and Loan Signing",
NOT_IN_DB,,"U. S. Army Recruiting Company Temecula","christopher.j.dalfonso2.mil@army.mil","(951) 694-4102",,,
ONLY_CHAMBER_HAS_EMAIL,name,"iStaffing, Inc.","amendoza@istaffing.us","(951) 502-1990","cmsll7qsu002cdou98cy5xi9x","iStaffing, Inc.",
BOTH_NO_EMAIL,name,"Black Pearl Seafood and Grill","","(951) 413-6950","cmsll7pcn000ndou95waye06p","Black Pearl Seafood and Grill",
ONLY_CHAMBER_HAS_EMAIL,name,"Kalaveras Cantina","liliBrito.Kalaveras@gmail.com","(424) 444-7712","cmsll7qvd002fdou9xh9z40sp","Kalaveras Cantina",
ONLY_CHAMBER_HAS_EMAIL,name,"Grizzly Firearms","Sales@grizzlyfirearmsinc.com","(951) 485-1485","cmsll7qhq001zdou96deh10ki","Grizzly Firearms",
ONLY_CHAMBER_HAS_EMAIL,name,"Quick Quack Car Wash","mjackson@dontdrivedirty.com","(888) 772-2792","cmsll7s4f003wdou942f1mndc","Quick Quack Car Wash",
ONLY_CHAMBER_HAS_EMAIL,name,"Optimum Cleaning Services","turbocleanteam@gmail.com","(951) 488-2788","cmsll7rrf003hdou9yeduchrq","Optimum Cleaning Services",
ONLY_CHAMBER_HAS_EMAIL,name,"NID HCA Riverside/San Bernardino Counties ","alvin.g.toney@gmail.com","(951) 399-4538","cmsll7rpq003fdou9dxpmucwq","NID HCA Riverside/San Bernardino Counties",
ONLY_CHAMBER_HAS_EMAIL,name,"Gold Coast Dental","Carla.garza@goldcoastdental.com","(909) 200-0315","cmsll7qf7001wdou9mpsdslpp","Gold Coast Dental",
ONLY_CHAMBER_HAS_EMAIL,name,"Charmer's Fresh Burgers","costasdino@rocketmail.com","(951) 247-0000","cms0s5zheqyj8jv2hh","Charmer's Fresh Burgers",
ONLY_CHAMBER_HAS_EMAIL,name,"Trinidad Safety Construction","trinidadsafetyconstruction@gmail.com","(951) 322-0963","cmsll7t5l0054dou9odf2y5ee","Trinidad Safety Construction",
ONLY_CHAMBER_HAS_EMAIL,name,"Freeway Insurance-The Machado Agency","saul.machado@freewayinsurance.com","(951) 228-9370","cmsll7qa5001qdou9uaanph3y","Freeway Insurance-The Machado Agency",
ONLY_CHAMBER_HAS_EMAIL,name,"MMJEAM Insurance","Maria@mmjeaminsurance.com","(951) 742-5007","cmsll7rc9002zdou97oip03a8","MMJEAM Insurance",
ONLY_CHAMBER_HAS_EMAIL,name,"Golden Corral","rest2706@goldencorral.net","(951) 369-1024","cmsll7qg1001xdou90shsxo4w","Golden Corral",
ONLY_CHAMBER_HAS_EMAIL,name,"321 Insurance Services, Inc.","321InsuranceServices@gmail.com","(951) 530-8900","cmsll7ore0000dou96vmh0rbo","321 Insurance Services, Inc.",
ONLY_CHAMBER_HAS_EMAIL,name,"WoodSpring Suites","cag62@stayatchoice.com","(951) 842-8003","cmsll7tgm005hdou93mg7hlfg","WoodSpring Suites",
ONLY_CHAMBER_HAS_EMAIL,name,"In The Stitch","aleta.lawson@yahoo.com","(562) 546-9932","cmsll7qqc0029dou96kgews9f","In The Stitch",
BOTH_NO_EMAIL,name,"Roman Window Coverings","","(562) 475-7847","cmsll7sek0048dou9egk6zr1f","Roman Window Coverings",
ONLY_CHAMBER_HAS_EMAIL,name,"Prime Technologies, LLC","ccobb@primetechnologies.us","1-951-285-7288","cmsll7s0o003sdou9ehwqd9m6","Prime Technologies, LLC",
ONLY_CHAMBER_HAS_EMAIL,name,"Healthy Heffa, LLC","staylor@healthyheffa.com","1-562-239-5292","cmsll7ql70023dou9xq1he6zu","Healthy Heffa, LLC",
ONLY_CHAMBER_HAS_EMAIL,name,"Options for Youth Nonprofit Public Charter School","yesirethmdircio@ofy.org","(951) 653-3085","cmsll7rs9003idou9ex4hgeb0","Options for Youth Nonprofit Public Charter School",
BOTH_NO_EMAIL,name,"Denises Loving Hands Family Childcare, LLC","","(310) 686-0475","cmsll7pud0018dou9g4jhmfen","Denises Loving Hands Family Childcare, LLC",
ONLY_CHAMBER_HAS_EMAIL,name,"Powered Through Love","info@poweredthroughlove.org","(323) 717-5285","cmsll7ryz003qdou94eo2ddr6","Powered Through Love",
NOT_IN_DB,,"Dr. Martinrex Kedziora","","(951) 768-8686",,,
ONLY_CHAMBER_HAS_EMAIL,phone,"Maxwell & Associates R. E. Company","Val.Maxwell07@gmail.com","(951) 315-6849","cmsll7r8u002vdou966pcwqg1","Maxwell & Associates Real Estate Company",
ONLY_CHAMBER_HAS_EMAIL,name,"E 320 AIR","e320air@gmail.com","(909) 786-8195","cmsll7q1a001gdou9pauv5uhi","E 320 AIR",
ONLY_CHAMBER_HAS_EMAIL,name,"Sigma Beta Xi, Inc","sharina@sbxinc.org","(951) 247-1700","cmsll7sm5004hdou9c7l7rgas","Sigma Beta Xi, Inc",
ONLY_CHAMBER_HAS_EMAIL,name,"Pacific View Charter School","kmeck@pacificview.org","(951) 697-1990","cmsll7rtx003kdou9sfg4znge","Pacific View Charter School",
BOTH_NO_EMAIL,name,"Marinaj Banquets & Events","","(951) 880-8067","cmsll7r76002tdou9ukhqfhrk","Marinaj Banquets & Events",
ONLY_CHAMBER_HAS_EMAIL,name,"Doctor's Choice Weight Loss","prab@myprisminsurance.com","(951) 488-6999","cmsll7pyk001ddou9bxekomgd","Doctor's Choice Weight Loss",
ONLY_CHAMBER_HAS_EMAIL,name,"Marsell Wellness Center Moreno Valley","kervin@marsellwc.com","(909) 504-0801","cmsll7r80002udou9fx9a7hds","Marsell Wellness Center Moreno Valley",
ONLY_CHAMBER_HAS_EMAIL,name,"Magic Brush Car Wash","saell@jntmgmt.com","(951) 387-0940","cmsll7r2x002odou9i82fate6","Magic Brush Car Wash",
